0,lang
Mummunar ambaliya ruwa da ta auka wa birnin Maiduguri a farkon wannan makon na ci gaba da haifar da fargaba kan ƙarin annobar da za a iya fuskanta sakamakon ambaliyar.,hausa
Ɓallewar madatsar ruwa da Alau da ke wajen birnin na Maiduguri ce ta haifar da mummunar matsalar.,hausa
"Gidaje da dama da motocin hawa sun nutse cikin ruwa, yayin da mutanen birnin suka koma zama a sansanonin 'yan gudun hijira.",hausa
Ambaliyar ta shafe maƙabartu da dama inda ake fargabar ta tono tare da tafiya da gawarwaki da dama.,hausa
"Wakilin BBC da ke birnin Maiduguri ya ce ya ga gawarwaki da idanunsa na yawo a cikin ruwa, sannan wasu gawarwakin sun fara ruɓewa a cikin ruwan.",hausa
"Haka nan ta cika tare da tafiya da kwatocin yankin da ta shafa, baya ga dagolon ba-haya da sauran ƙazanta mai yawan gaske da ambaliyar ta share.",hausa
Wannan ne ma ya sa ake ƙara samun fargabar samun wasu annoba bayan wucewar ambaliyar.,hausa
Kan hakan ne muka yi nazarin wasu bala'o'i biyar da za ayi samu bayan ambaliyar ruwan da kuma matakan da ya kamata a bi domin kauce musu.,hausa
A duk lokacin da aka samu irin wannan ambaliya babban abin da ke biyo bayanta shi ne ɓarkewar cutuka masu alaƙa da gurɓatar ruwa da muhalli,hausa
"Dakta Muhammad Salihu Kwaifa, wani ƙwararren likita ne a Abuja, ya ce akwai tarin cutuka da ake iya ɗauka sakamakon garwayar ƙazanta, kamar bahaya da dagolon kwata da kuma ruwan da ake amfani da shi.",hausa
"Haka kuma ya ce kasancewar samun ruwa da ƙazanta, yanayi ne da ke bai wa sauro damar hayayyafa da bazuwa cikin sauri, don haka akwai fargaɓar ɓarkewar cutuka masu alaƙa da sauro.",hausa
"Dakta Kwaifa ya ƙara da cewa baya ga waɗanann akwai kuma wasu cutuka da za a iya ɗauka sakamakon damuwar da mutane suka faɗa, musamman idan suka tuna irin hatsarar da suka yi.",hausa
"''A lokaci guda mutum mai rufin asiri wanda ya fi ƙarfin buƙatunsa, ya dawo mai tsananin buƙatar taimakon abin da a baya ya fi ƙarfinsa, haƙiƙa wannan yanayi ne da ke jefa mutane cikin hatsarin kamuwa da cutuka masu alaƙa da damuwa'', in ji shi.",hausa
"ƙwararren likitan ya zayyano wasu cuta da yake ganin za a iya ɗauka a irin wannan yanayi, kamar haka.",hausa
Baya ga cutukan da za  aiya ɗauka daga ambaliya takan kuma haifar da samun raunuka sakamakon yawon da mutane suke yi cikin ruwa ba tare da sanin inda za su taka ƙafarsu ba.,hausa
Likitan ya zayyano hanyoyin da ya kamata a bi domin kauce wa fuskantar waɗannan cutuka.,hausa
"Ya ce babban abin da ya kamata a yi da farko shi ne samar wa da mutane matsugunai masu inganci, waɗanda babu ruwana cikinsu.",hausa
"''Abu na gaba shi ne samar musu da ruwan sha mai tsafta, idan babu damar hakan to ya kasance mutanen sun riƙa tafasa ruwan da za su sha kafin su yi amfani da shi'', in ji shi.",hausa
Sauran matakan sun haɗar da:,hausa
"Asalin hoton, Getty Images",hausa
"Gwamnatin jihar Maiduguri ta ce ambaliya ta shafi kusan mutum miliyan biyu, waɗanda galibinsu ke zaune a sansanonin kula da 'yan gudun hijira.",hausa
Wakilin BBC da ke birin Maiduguri ya ce kawo yanzu an buɗe sansanonin 'yan gudun hijira biyar domin tsugunar da mutanen da suka rasa gidajensu.,hausa
"To sai dai a duk lokacin da ka yi maganar zama a sansanin 'yan gudun hijira, babban abin da ke zama barazana ga mazuna wurin shi ne yunwa, sakamakon rashin wadattacen abincin da mazauna wurin za su ci.",hausa
Kawo yanzu dai gwamnatin jihar tare da haɗin gwiwar hukumar bayar da agajin gaggauta ta ƙasa NEMA ta da Jihar SEMA sun fara raba wa mazauna sansanonin abinci.,hausa
To sai dai wasu mazauna wurin da BBC ta zanta da su sun koka kan halin yunwa da suke ciki tare da 'ya'yansu.,hausa
"''Tun jiya muka zo nan ni da 'ya'yana, amma haka muka kwana ko loma ɗaya ba mu samu ba, sai yau', kamar yadda wata mata ta shaida wa BBC.",hausa
Kan haka ne Dakta Kwaifa ya ce akwai fargaɓar ɓarkewar cutar tamowa musamman ga ƙanana yaran da ke zaune a waɗannan wurare.,hausa
"''Cuta ce da ke yi wa garkuwar bil-adama rauni sosai, ta yadda zai riƙa kamuwa da cutuka iri-iri cikin sauƙi, kasancewar garkuwar jikinsa ba ta da ƙarfin da za ta yaƙi ƙwayoyin cutar da za su kawo masa hari'', in ji Likitan.",hausa
Dama dai jihar Borno na daga cikin jihohin arewacin ƙasar da ke fama da matsalar tamowa da ake samu sakamakon rashin samun abinci mai gina jiki.,hausa
"Abin da ya kamata a yi domin kauce wa wannan matsala, shi ne a samar wa mutanen wadataccen abinci a sansanonin da aka ajiye su.",hausa
"Dakta Kwaifa ya ce ''dole ne gwamnati da hukomomin bayar da agaji su tallafa wa jama'a da wadattacen abinci mai gina jiki, musamman domin kauce wa kamuwa cutar tamowa ga ƙanananan yara.",hausa
"Asalin hoton, AFP",hausa
"Hukumar bayar da agajin gaggawa ta ƙasar NEMA ta tabbatar da mutuwar aƙalla mutum 37 kawo yanzu, sakamakon bala'in ambaliyar.",hausa
Haka kuma akwai fargabar samun ƙarin adadin mutunen da suka mutu sakamakon ambaliyar da ma waɗanda za su mutu sakamakon cutukan da za su ɗauka daga ambaliyar.,hausa
"Wakilin BBC da ke birnin ya ce ya ga gawarwakin mutane na yawo a cikin ruwa, inda ya ce har ma wasu daga ciki sun fara ruɓewa.",hausa
Hukumar bayar da agajin gaggawa ta jihar ta ce akwai fargaɓar dubban mutane sun maƙale cikin gine-ginen.,hausa
"Baya ga mace-macen kuma, akwai fargabar samun ƙaruwar aikata miyagun laifuka musamman ga waɗanda ke zauna a sansanonin'yan gudun hijirar.",hausa
"''Akwai fargabar samun ƙaruwar miyagun laifuka irin fyaɗe musamman a sansanonin 'yan gudun hijirar da aka tsugunar da mutanen'', in ji dakta Kwaifa.",hausa
"''Zama ne na ɗimbin mutane daga gidaje daban-daban, kowa da irin tarbiyyarsa, sai kuma a zo a zaune wuri ɗaya, to ka ga dole wasu za su koyi munanan halayen wasu''.",hausa
"Babban abin da ya kamata a yi a nan, shi ne dole ne gwamnati da hukumomin agaji su tashi haiƙan domin ƙara jajircewa wajen tabbatar da kuɓutar duka mutanen da suka maƙale cikin gine-ginen.",hausa
Hukumar bayar da agajin gaggauta ta ƙasar da ta jihar sun ce suna aiki ba dare ba rana domin tabbatar da kuɓutar da dubban mutanen da ke maƙale cikin gidajensu.,hausa
Hukumar bayar da agajin ta tanadi ƙananan jiragen kwale-kwale domin gudanar da wannan aiki.,hausa
Sannan hukumar NEMA ta ce tuni ta tanadi asibitocin tafi a gidanka a sansanonin 'yan gudun hijira biyar da ke birnin domin taimaka wa mutanen da ba su da cikakkiyar lafiya.,hausa
"Asalin hoton, AFP",hausa
"Shugabar hukumar bayar da agajin gaggawa ta ƙasar, NEMA, Hajiya Zubaida Umar ta tabbatar wa BBC cewa ambaliya ta shafe kusan kaso 40 cikin 100 na ilahirin birnin Maiduguri.",hausa
"Unguwanni da dama na birnin ruwa ya shafe su, lamarin da ya sa gidaje da dama suka nutse, wasu kuma ruwa ya cika su, tare da samun wurin zama a ciki gidajen.",hausa
"Dakta Sai'du Abdullahi, wani ƙwararren injina ne a Najeriya ya kuma yi gargaɗin samun rushewar gine-gine masu yawa bayan gushewar ambaliyar.",hausa
"''Akwai barazanar faɗuwar gine-gine da dama ko a bayan ambaliyar, musamman la'akari da yadda ruwa ya cika wasu gidajen'', in ji shi.",hausa
"Injiniyan ya ce hakan zai faru ne sakamakon raguwar ƙarfin gine-ginen, saboda ruwan da ya zauna a cikin.",hausa
"''Mafi yawan gine-ginen da ba a yi su kan ƙa'ida ba, za su samu matsala a wannan yanayi'', in ji shi.",hausa
"Ya ce bayan yashewar ruwan gine-gine da dama za su nuna alamar ruftawa, ta hanyar samun tsagewar katanga ko girgizawar gini, waɗanda dukansa alamu ne da faɗuwar gini.",hausa
"Abin da ya kamata a yi domin kauce wa wannan matsala shi ne idan aka lura da bayyanar alamomin rushewar gine-gine a gaggauta ƙaurace musu, kamar yadda Dakta Sai'du Abdullahi ya yi ƙarin haske.",hausa
Ya ƙara da cewa akwai wata na'ura da ake kira 'Rebound Hammer' da ake amfani da ita wajen auna ƙarfin kankare bayan wani abu ya samu ginin ciki har da ambaliyar.,hausa
"Ƙwararren injiniyan ya kuma bayar da shawarar cewa masu ginin ƙasa su guji gaggauta komawa cikin gidajen nasu da zarar ruwan ya janye, saboda a cewarsa ginin ƙasa kan lalace da zarar ruwa ya mamaye shi.",hausa
"Ya kuma bayar da shawarar ci gaba da gyara magudanar ruwa na cikin unguwanni, da kaucewa yin gine-gine ba bisa ƙa'ida ba, domin guje wa samun irin wannan matsala a nan gaba.",hausa
"Asalin hoton, Getty Images",hausa
"Ambaliyar ta mamaye gidan adana namun daji na Sanda Kyarimi, da ke binin na Maiduguri.",hausa
"Hukumomin kula da gidan sun kuma ce kashi 80 na dabbobin sun mutu, yayin da ruwan ta tafi da ragowar dabbobin zuwa cikin gari, wani abu da ya ƙara haifar da fargaba ga mutanen birnin.",hausa
"''Akwai dabobi masu hatsari da za su iya cutar da mutane, kamar macizai da kadoji da kunamu da sauran miyagun dabbobi da ke iya rayuwa cikin ruwa, in ji Dakta Kwaifa.",hausa
"Ya ce dabbabi da ke haifar da za su iya haifar wa mutane cutuka masu hatsari, da za su iya kai ga rasa rai.",hausa
"Kodayake kawo yanzu babu rahoto game da ɓarna da waɗannan dabbobi suka yi, amma akwai buƙatar ɗaukar matakan kariya, domin kauce wa fuskantar illolinsu.",hausa
"''Ya kamata mutane su yi ƙoƙarin kauce wa shiga cikin ruwan, domin guje wa taka irin waɗannan ƙwari ko dabbobi masu hatsari'', in ji Dakta Kwaifa.",hausa
"''In ma ya zama wajibi sai sun shiga ruwan to ya kamata su riƙa sanya takalman kariya da dogayen wanduna'', in ji shi.",hausa
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa
'Kuɗin aure zan tara da sabon alawus ɗin NYSC',hausa
Putin ya fitar da sabon sharaɗin amfani da makaman nukiliya,hausa
Ambaliyar ruwa a Turai alama ce ta ɓarnar da sauyin yanayi zai haifar nan gaba,hausa
Me ya sa Najeriya ke son a yafe mata bashin da ake bin ta?,hausa
Shin rikicin siyasa na ƙara ta’azzara matsalar tsaro ne a Zamfara?,hausa
Annobar kwalara ta kashe mutum fiye da 400 a Sudan mai fama da yaƙi,hausa
Hare-haren ƴanbindiga a Sahel sun jefa shugabannin soji cikin zulumi,hausa
Ambaliya na haifar da cikas a harkokin koyo da koyarwar makarantu a Jigawa,hausa
Abin da ya sa nake so gwamnatin Najeriya ta daina biyan tallafin man fetur - Ɗangote,hausa
Har yanzu ambaliyar Maiduguri na hana ni barci - Ma'aikacin BBC,hausa
"Bayan abubuwan da hukumomi a Najeriya suka tabbatar da faruwarsu sakamakon mummunar ambaliyar ruwa a birnin Maiduguri na jihar Borno, akwai waɗanda ba a sani ba da kuma waɗanda aka yi hasashe.",hausa
"Zuwa yanzu hukumar ba da agaji ta ƙasa Nema ta tabbatar da mutuwar aƙalla mutum 37, yayin da gwamnatin jihar ta ce sama da mutum miliyan ɗaya lamarin ya shafa.",hausa
Wannan ce ambaliya mafi muni da jihar ta gani cikin shekara 30 bayan faruwar makamanciyarta lokacin da madatsar ruwa ta Alau ta ɓalle a watan Satumban shekarar 1994.,hausa
"A wannan karon ma, ɗaya daga cikin makwararar kogin na Alau ce ta ɓalle sakamakon tumbatsar da ya yi saboda mamakon ruwan sama a ranar Litinin da tsakar dare.",hausa
Mun duba wasu abubuwa da suka fi jan hankali a jihar da ke arewa maso gabashin Najeriya.,hausa
"Asalin hoton, Reuters",hausa
"Gidan ajiyar namun daji na Sanda Kyarimi Park Zoo na ɗaya daga cikin wurare na musamman da ruwa ya antaya tare da wanke kayayyaki, ciki har da dabbobin gidan kansu.",hausa
"Wata sanarwa da gidan zoo ɗin ya fitar ranar Talata ta ce ruwan ya kashe sama da kashi 80 cikin 100 na dabbobin, waɗanda suka haɗa da zakuna, da kada, da jimuna.",hausa
"""Akwai kuma wasu dabbobi masu haɗari da ruwan ya janye zuwa unguwanninmu kamar macizai, da kada,"" in ji sanarwar, tana mai shawartar mazauna birnin su kula da kyau.",hausa
"Sai dai zuwa lokacin haɗa wannan rahoton, babu wani rahoto game da ɓarna da waɗannan dabbobi suka yi.",hausa
"Asalin hoton, Getty Images",hausa
Wani mazaunin birnin Maiduguri ya shaida wa BBC yadda ruwa ya mamaye babban gidan yari na birnin.,hausa
"""Yanzu haka ina tsaye a bakin babban gidan yari na Maiduguri, ga shi nan ruwa iya kallonka kuma sai ƙaruwa yake yi,"" in ji shi. Motoci duk sun maƙale. Wasu ma da rigunan barcinsu suka fita kan tituna.""",hausa
Jim kaɗan bayan haka wasu kafofin yaɗa labarai a Najeriya suka ruwaito cewa sama da fursunoni 200 ne suka tsere daga gidan yarin mai matsakaicin tsaro.,hausa
"Hukumar kula da gidajen yari a Najeriya ta tabbatar da aukuwar lamarin, inda ta tabbatar da cewa ta fara aikin kwashe tsararrun zuwa wani wurin daban amma ba ta musanta ko tabbatar da guduwarsu ba.",hausa
Kuma har zuwa lokacin haɗa wannan rahoton hukumar ta Nigerian Correctional Service ba ta sake bayar da wani ƙarin bayani ba game da lamarin.,hausa
"Asalin hoton, Social Media",hausa
Wani muhimmin wuri da ya kurɓi ruwan kogin nan shi ne fadar Shehun Borno Abubakar Umar-Ibn Garbai.,hausa
Hotuna da bidiyon da aka ɗauka sun nuna yadda ruwan ya mamaye gaba da kuma kewayen ginin daidai lokacin da Mataimakin Shugaban Ƙasa Kashim Shettima yake kai ziyarar jaje.,hausa
"Haka nan, an ga mataimakin shugaban ƙasar yana tafiya a cikin ruwan da ya shanye kusan tsawon ƙafarsa gaba ɗaya lokacin da yake shiga fadar.",hausa
"""Za mu ɗauki dukkan matakan da suka dace domin ganin mun share hawayenku,"" a cewarsa yayin da yake yi wa mutanen da suka taru a jihar tasa jawabi.",hausa
"Asalin hoton, Social Media",hausa
"Asalin hoton, Nema",hausa
Majalisar Ɗinkin Duniya ta nuna damuwa kan yiwuwar ɓarkewar cutar kwalara a wani sansanin ƴan gudun hijira na gaggawa da aka buɗe a Maiduguri.,hausa
Gwamnatin jihar Borno ta ce ta buɗe sansanin Bakassi domin tsugunarwa da kuma tallafa wa mutanen da suka rasa muhallansu.,hausa
"Cikin wani rahoto da ofishin hukumar kula da ayyukan jin-ƙai na MDD (OCHA) ya fitar, ya ce abubuwan da mutanen suke buƙata a yanzu su ne abinci, da matsuguni da kuma tsaftataccen ruwan sha.",hausa
"Sanarwar ta ƙara da cewa ruwan da ake sha a yanzu ya gurɓata, kuma zai iya janyo ɓarkewar cutuka kamar amai da gudawa wato kwalara. ""Rashin tsaftataccen ruwan sha barazana ne ga ƙananan yara, tsofaffi da kuma masu buƙata ta musamman,"" in ji hukumar.",hausa
"Rahoton na MDD ya ce kafin ambaliya ta baya-bayan nan, sama da mutum 123,000 ne ambaliyar ta shafa a Maiduguri tun watan Agusta, inda ta ce ta kuma lalata ababen more rayuwa da kuma ƙara barazanar ɓarkewar cutuka a sansanonin da suka cika da ƴan gudun hijira.",hausa
"Yayin da ake ci gaba da alhinin wannan bala'i, hukumar kula da yanayi ta Najeriya ta yi hasashen ƙarin tsawa da ruwan sama tsawon kwana uku a faɗin ƙasar, ciki har da jihar ta Borno.",hausa
