0,lang
"Oríṣun àwòrán, TVC News",yoruba
Adajọ Haleema Salman ti ile ẹjọ giga ilu Ilorin nipinlẹ Kwara ti sọ pe ki wọn yẹgi fun gbogbo awọn adigunle to ṣọṣẹ nibi iṣẹlẹ idigunlẹ awọn ile ifowopamọ niluu Offa nipinlẹ Kwara lọdun 2018.,yoruba
Adajọ Salman ni awọn ọdaran maraarun naa jẹbi ẹsun ti wọn fi kan wọn.,yoruba
"Nigba to n gbe idajọ rẹ kalẹ l""Ọjọbọ, adajọ Salman wi pe ko si ẹri to le fidi rẹ mulẹ wi pe awọn adigunjale naa ni iwe ẹri lati gbe ibọn labẹ ofin.",yoruba
Gbogbo awọn ọdaran naa nile ẹjọ ni wọn jẹbi ẹsun gbigbe ibọn lai ni iwe ẹri lati ṣe bẹẹ.,yoruba
Bakan naa ni ile ẹjọ tun sọ pe wọn jẹbi ẹsun igbimọpọ lati digunjale ni banki.,yoruba
Adajọ Salman fidi rẹ mulẹ wi pe ikọ agbẹjọro olupẹjọ ti fidi ẹsun idigunjale ati ipaniyan mulẹ kọja ohun to le ru ẹnikẹni loju.,yoruba
Ile ẹjọ sọ pe olupẹjọ ti mu awọn ẹleri mọkanla pẹlu nkan ẹri to to mọkandinlọgọrun wa ileẹjọ lati fidi ẹsun naa mulẹ.,yoruba
"Adajọ Salman, ni lọjọ buruku eṣu gbomi mu yii, gbogbo ilu Offa lo wa ninu ọfọ lori bi awọn adigunjale naa se yabo awọn banki marun-un ni ilu naa, ti wọn si gbe owo to to ẹgbẹẹgbẹ milionu lọ lẹyin ti wọn ṣeku pa awọn ọlọpaa ati awọn araalu mii.",yoruba
O ni bi iṣẹlẹ naa se ṣẹlẹ pe fun akiyesi gbogbo agbaye.,yoruba
"Fun ẹsun nini ohun ija ni ikawọ, adajọ pasẹ ẹwọn ọdun mẹta fun wọn nipa ilana ofin Naijiria.",yoruba
"Fun idigunjale ati ipaniyan, o pa a lasẹ pe ki wọn yẹgi fun wọn titi ẹmi yoo fi bọ lọrun wọn.",yoruba
"Adajọ Salman wa parọwa fawọn ọdọ lati maa rọra ṣe nitori ibasepọ awọn ọdaran naa pẹlu ijọba ode igbana naa lo jẹ ki wọn ṣe asise, ti wọn si ti gbagbe pe, ohun kan ko lọ titi lai.",yoruba
"Lẹyin idajọ naa ti o to wakati mẹta, agbajẹro ikọ olupẹjọ, Rotimi Jacobs fi idunu rẹ han, o si dupẹ lọwọ ile ẹjọ fun idajọ ti ile ẹjọ gbe kalẹ.",yoruba
O ni ọpọlọpọ idojukọ ni ile ẹjọ ti ri lori igbẹjọ ọhun sugbọn ileẹjọ ko yẹsẹ kuro lori ododo.,yoruba
"Ni tirẹ, agbẹjọro fun awọn ọdaran naa, Abdullahi Jimba sọ wi pe idajọ ọhun ko tẹ oun lọrun.",yoruba
O sọ pe awọn ti n gbero lati pe ẹjọ kotemilorun lori idajọ naa.,yoruba
"Oríṣun àwòrán, Ayobami Agboola",yoruba
