0,lang
"Oríṣun àwòrán, EPA",yoruba
"Kaakiri ilẹ Lebanon bayii, awọn idile n ko gbogbo ẹru wọn, wọn n sa gba apa Ariwa lọ ninu ọkọ̀ ati alupupu, bi ikọ ologun Israel ṣe n kọlu wọn. Ikọlu naa ni wọn lo ni i ṣe pẹlu awọn ọmọ Lebanon ti wọn jẹ Shia, Hezbollah.",yoruba
"Awọn kan ninu awọn olugbe agbegbe naa sọ pe awọn ologun Isreali ti fi atẹjiṣẹ ikilọ ranṣẹ si awọn tẹlẹ, bẹẹ ni wọn si tun kilọ naa pẹlu lilo ohun (Voice recording), eyi ti wọn fi ni kawọn kuro lagbegbe ti Iran n ṣatilẹyin fun.",yoruba
"Zahra Sawli, akẹkọọ ni Guusu Nabatie,sọ fun  BBC pe ikọlu ọhun lagbara gan-an ni.",yoruba
""" Mo ji si ibugbamu ado oloro laago mẹfa aarọ. Nigba ti yoo fi di ọsan, o tun ti lagbara si i , mo si ri ọpọlọpọ ado oloro lagbegbe mi.",yoruba
""" Mo kan n gburoo bi wọn ṣe n fọ ọlọkan-o-jọkan igo ni.""",yoruba
"Ṣugbọn bi iro ibẹru naa ṣe n dun to, Zahra ati awọn ti wọn jọ wa ko kuro nile. Wọn ko to bẹẹ .",yoruba
"""Nibo ni aa ba lọ? Ọpọ eeyan lo ti ha si aarin ọna ti wọn ko ribi sa si . Ọpọ awọn ọrẹ mi ni wọn ṣi wa lọna, ọna ti di pa nitori ọpọ eeyan to kun titi, ti wọn n wa ọna lati sa lọ.''",yoruba
Bẹẹ ni Zahra wi.,yoruba
"Nigba ti yoo fi di ọwọ ọsan, sunkẹẹrẹ-fakẹẹrẹ ti gba gbogbo awọn ọna to wọ Ariwa Beirut, wọn ti di pa  pẹlu awọn ọkọ rẹpẹtẹ ti wọn n lọ si olu ilu. Ona olopo mẹfa to jẹ marosẹ di pata, o di sunkẹẹrẹ-fakẹẹrẹ.",yoruba
"Bakan naa ni a ri awọn eeyan ti wọn n fi ẹsẹ rin lẹba okun, lapaa Guusu ilu Tyre, bẹẹ ni eruku n sọ lala loke latari awọn ado oloro.",yoruba
BBC ba idile ẹlẹni marun-un to gun ọkada kan ṣoṣo de Beirut  sọrọ .,yoruba
"Lati abule kan ni Guusu ni wọn ti lọ si Ariwa Tripoli, o ti rẹ wọn gidi.",yoruba
"""Ki lẹ fẹẹ ka sọ? A fi ka sa asala fun ẹmi wa naa ni'' Bẹẹ ni baba awọn idile ẹlẹni marun-un naa wi fun BBC.",yoruba
"Oríṣun àwòrán, Hassan Harfoush",yoruba
"Nigba ti yoo fi di irọlẹ ọjọ Aje, ajọ eleto ilera Lebanon kede pe eeyan 492 ni wọn ti pa, o si ti le ni 1,600 to ti farapa latari ikọlu Isreali to n mu awọn eeyan sa kiri bayii ni Lebanon.",yoruba
"Ikọ ọmọ ogun Israel; Israel Defense Forces (IDF) sọ pe o ti to1,100 ibugbamu to ti waye laarin wakati mẹrinlelogun.",yoruba
"Lara rẹ ni eyi to waye ni Guusu Beirut, eyi ti awọn IDF sọ pe nitori ọga ologun  Hezbollah kan ti wọn fẹẹ pa ni.",yoruba
"Ni Beirut naa, ibẹrubojo gbalẹ kan ni. Niṣe lawọn eeyan n de lati olu ilu pẹlu mọto ti wọn so ẹru wọn mọ oke rẹ kitikiti, bẹẹ lawọn eeyan to wa nigboro paapaa n sa gba ibo mi-in lọ.",yoruba
