0,links,lang
Mummunar ambaliya ruwa da ta auka wa birnin Maiduguri a farkon wannan makon na ci gaba da haifar da fargaba kan ƙarin annobar da za a iya fuskanta sakamakon ambaliyar.,https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
Ɓallewar madatsar ruwa da Alau da ke wajen birnin na Maiduguri ce ta haifar da mummunar matsalar.,https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"Gidaje da dama da motocin hawa sun nutse cikin ruwa, yayin da mutanen birnin suka koma zama a sansanonin 'yan gudun hijira.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
Ambaliyar ta shafe maƙabartu da dama inda ake fargabar ta tono tare da tafiya da gawarwaki da dama.,https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"Wakilin BBC da ke birnin Maiduguri ya ce ya ga gawarwaki da idanunsa na yawo a cikin ruwa, sannan wasu gawarwakin sun fara ruɓewa a cikin ruwan.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"Haka nan ta cika tare da tafiya da kwatocin yankin da ta shafa, baya ga dagolon ba-haya da sauran ƙazanta mai yawan gaske da ambaliyar ta share.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
Wannan ne ma ya sa ake ƙara samun fargabar samun wasu annoba bayan wucewar ambaliyar.,https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
Kan hakan ne muka yi nazarin wasu bala'o'i biyar da za ayi samu bayan ambaliyar ruwan da kuma matakan da ya kamata a bi domin kauce musu.,https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
A duk lokacin da aka samu irin wannan ambaliya babban abin da ke biyo bayanta shi ne ɓarkewar cutuka masu alaƙa da gurɓatar ruwa da muhalli,https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"Dakta Muhammad Salihu Kwaifa, wani ƙwararren likita ne a Abuja, ya ce akwai tarin cutuka da ake iya ɗauka sakamakon garwayar ƙazanta, kamar bahaya da dagolon kwata da kuma ruwan da ake amfani da shi.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"Haka kuma ya ce kasancewar samun ruwa da ƙazanta, yanayi ne da ke bai wa sauro damar hayayyafa da bazuwa cikin sauri, don haka akwai fargaɓar ɓarkewar cutuka masu alaƙa da sauro.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"Dakta Kwaifa ya ƙara da cewa baya ga waɗanann akwai kuma wasu cutuka da za a iya ɗauka sakamakon damuwar da mutane suka faɗa, musamman idan suka tuna irin hatsarar da suka yi.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
"''A lokaci guda mutum mai rufin asiri wanda ya fi ƙarfin buƙatunsa, ya dawo mai tsananin buƙatar taimakon abin da a baya ya fi ƙarfinsa, haƙiƙa wannan yanayi ne da ke jefa mutane cikin hatsarin kamuwa da cutuka masu alaƙa da damuwa'', in ji shi.",https://www.bbc.com/hausa/articles/c39llz19xm7o,hausa
